SCENE_SaoHoa03-001 — PRESET 1 — EXT — WIDE STATIC HORIZON FRAME — COLD DAWN GLARE — CRATER RIM — Detailed Description (write like a compact cinematic essay): Pale morning sunlight pierces the thin Martian haze, casting long sharp shadows across a fresh structural fracture on a steep forty-five-degree crater rim. A recent micro-meteorite impact has triggered a massive regolith landslide, stripping away centuries of rust-colored dust to expose a glinting edge of wrinkled gold insulation foil buried deep in the frozen ground. The unstable slope remains precarious, under immense tectonic tension. | CONTINUITY: fresh impact scar and exposed gold insulation foil | NEXT: tracking the debris field downward | AUDIO: thin wind scrape, distant rock slide hiss, radio static | VOICE : none
SCENE_SaoHoa03-002 — PRESET 1 — EXT — SLOW LATERAL TRACK — HARD MORNING SPILL — LANDSLIDE ZONE — Detailed Description (write like a compact cinematic essay): The camera tracks slowly across the jagged line of the secondary sessional collapse where loose red sand continuously trickles down into a dark volcanic fissure. The exposed metallic gold foil of the buried debris vibrates weakly under the force of the thin atmosphere, revealing a heavily oxidized steel structural bracket beneath it. No human tracks disturb the pristine, hostile landscape. | CONTINUITY: shifting regolith over buried golden metal structures | NEXT: panning to the deep impact center | AUDIO: gravel trickling down slope, metallic vibration, wind howl | VOICE : none
SCENE_SaoHoa03-003 — PRESET 1 — EXT — DISTANT SILHOUETTE WIDE — LOW EVENING RED-GOLD LOSS LIGHT — SOUTHERN EMISTION ZONE — Detailed Description (write like a compact cinematic essay): A wider perspective captures the immense scale of the ancient impact basin under a darkening crimson sky as frozen carbon dioxide frost begins to crystallize on the upper rocks. Far below the rim, the golden foil glints like a solitary eye amidst the vast expanse of dead red desert sand, marking the location of an unresolved thermal anomaly. The environment is entirely static. | CONTINUITY: scale of the crater rim landslide and thermal anomaly site | NEXT: transitioning to the interior habitat wake-up | AUDIO: low-frequency atmosphere rumbling, quiet static hiss | VOICE : none
SCENE_SaoHoa03-081 — PRESET 1 — EXT — ANCHORED OVER-SHOULDER — LOW EVENING RED-GOLD LOSS LIGHT — BATTERY WELLS — Detailed Description (write like a compact cinematic essay): Looking down over the shoulder of [Grant-charactor], the small passive temperature sensor on the ancient radioisotope thermoelectric generator shows a weak orange glow. The decay of the remaining plutonium fuel provides just enough thermal energy to keep the analog components from cracking in the freezing Martian night. | CONTINUITY: RTG thermal status, manual azimuth dial calibration | NEXT: testing the structural stability of the crater rim slope | AUDIO: low radioactive thermal hum, suit ventilator drone, wind gust | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-082 — PRESET 3 — EXT — LOW TERRAIN-READING ANGLE — LOW EVENING RED-GOLD LOSS LIGHT — UNSTABLE CRATER WALL — Detailed Description (write like a compact cinematic essay): The camera shoots from below as the loose gravel shifts under the boots of [Grant-charactor], sending a trickle of pebbles down the steep forty-five-degree incline. He braces his heavy planetary suit against the side of the satellite, waiting for the vibration to subside as the ground makes a low rumbling sound. | CONTINUITY: unstable terrain shifting, RTG thermal check | NEXT: attempting to align the main optical transmitter head | AUDIO: gravel trickling down slope, heavy structural creak, suit alarm | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-083 — PRESET 2 — EXT — FIXED INTERIOR FRAME — REFLECTED MONITOR GLOW — WRIST INTERFACE — Detailed Description (write like a compact cinematic essay): The camera shows the digital wrist terminal interface as [Grant-charactor] inputs the current astronomical alignment coordinates. The software calculates the extremely precise target vector needed for the laser to cross the fifty-five-million-kilometer void to reach the planetary receivers. His breath is shallow. | CONTINUITY: wrist interface terminal, unstable crater slope | NEXT: adjusting the manual azimuth index ring on the chassis | AUDIO: screen touch tones, high suit ventilator whistle, wind scrape | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-084 — PRESET 2 — EXT — CLOSE TOOL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — AZIMUTH RING — Detailed Description (write like a compact cinematic essay): [Grant-charactor] aligns the heavy brass index pointer with the marked calibration notches on the outer chassis frame. The physical feedback is stiff, requiring him to use his full grip to turn the ring. Each notch represents a massive distance step across the cold space between worlds, leaving no room for error. | CONTINUITY: manual azimuth ring, coordinate wrist display | NEXT: checking the remote base habitat telemetric warning logs | AUDIO: heavy brass ring clicking, glove leather creak, thin wind hum | VOICE : This old laser array doesn't use microchips. It relies on pure mechanical geometry to reflect light across the solar system. | IMAGES: Grant-charactor
SCENE_SaoHoa03-085 — PRESET 2 — EXT — RESTRAINED SIDE PROFILE — LOW EVENING RED-GOLD LOSS LIGHT — SATELLITE BODY — Detailed Description (write like a compact cinematic essay): Leaning over the open maintenance bay, [Grant-charactor] uses a technical wrench to lock the azimuth adjustment bolts in place. His shoulders are tight with exhaustion as he applies steady force, ensuring that the critical laser alignment will not drift during the upcoming seismic shifts of the sliding slope. | CONTINUITY: locking azimuth bolts, heavy mechanical wrench | NEXT: checking the remote habitat power grid status on his wrist | AUDIO: wrench grinding on iron bolts, heavy suit joint creak, wind roar | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-086 — PRESET 1 — EXT — DISTANT SILHOUETTE WIDE — LOW EVENING RED-GOLD LOSS LIGHT — CRATER RIM — Detailed Description (write like a compact cinematic essay): The solitary silhouette of [Grant-charactor] stands out against the vast orange sky as he checks the battery level of his transport vehicle parked on the ridge. The cold wind whips across the open expanse, carrying fine dust that slowly settles over the white spaces of his planetary suit. The silence of the desert is absolute. | CONTINUITY: remote base battery telemetry, locked azimuth alignment | NEXT: monitoring the thermal drop rate in the greenhouse bay | AUDIO: distant wind howling against rocks, suit breathing echoes | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-087 — PRESET 2 — EXT — CLOSE STRUCTURAL INSERT — REFLECTED MONITOR GLOW — WRIST DISPLAY — Detailed Description (write like a compact cinematic essay): The camera captures a close view of the wrist telemetry screen as [Grant-charactor] monitors the remote greenhouse sensors. The temperature of the potato soil beds has dropped to one point five degrees Celsius, flashing an amber warning that indicates the immediate danger of total crop loss back at the base. He holds his arm steady against the wind. | CONTINUITY: critical greenhouse temperature drop, remote telemetry | NEXT: shoveling away loose regolith to secure the satellite anchor | AUDIO: wrist panel alarm chime, soft wind rustling, high suit blower | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-088 — PRESET 2 — EXT — SLOW LATERAL TRACK — SHADOW BANDS — CRATER EMBANKMENT — Detailed Description (write like a compact cinematic essay): The camera tracks along the crumbling slope as [Grant-charactor] uses the heavy steel shovel to dig out a secure platform around the satellite's rusted base. He tosses spadefuls of red sand down the forty-five-degree incline, fighting the constant sliding of the loose embankment to keep the machine from tipping. | CONTINUITY: manual shovel excavation, greenhouse thermal crisis | NEXT: preparing the optical alignment of the primary transmitter lens | AUDIO: steel shovel scraping sand, heavy boots sliding, wind whistling | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-089 — PRESET 2 — EXT — RESTRAINED SIDE PROFILE — LOW EVENING RED-GOLD LOSS LIGHT — CRATER RIM — Detailed Description (write like a compact cinematic essay): Standing on the narrow cleared ledge, [Grant-charactor] wipes a layer of fine dust from his helmet visor with a heavy glove. His breath is shallow and rapid inside the suit, reflecting the rising anxiety of balancing the mission outside with the slow freezing of his crops back at the habitat. | CONTINUITY: dusty helmet visor, manual soil excavation | NEXT: connecting a temporary bypass jumper wire from his kit | AUDIO: glove rubbing visor scratch, deep suit respiration, wind howling | VOICE : If I don't establish this backup link now, the supply ships won't have a beacon. But those potato sprouts are dying. | IMAGES: Grant-charactor
SCENE_SaoHoa03-090 — PRESET 2 — EXT — CLOSE TOOL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — TELEMETRY PORT — Detailed Description (write like a compact cinematic essay): The camera zooms in on the ancient satellite telemetry port as [Grant-charactor] prepares a copper diagnostic cable from his technical toolkit. The brass contacts are heavily oxidized and caked with fine sand, requiring him to carefully scrape the pins clean with a small metal file before attempting a direct interface. | CONTINUITY: technical toolkit preparation, copper jumper wires | NEXT: connecting a temporary bypass jumper wire from his kit | AUDIO: metal file scraping brass, wind whistling past helmet, suit hum | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-091 — PRESET 2 — EXT — RESTRAINED SIDE PROFILE — LOW EVENING RED-GOLD LOSS LIGHT — EXPOSED TELEMETRY PORT — Detailed Description (write like a compact cinematic essay): Kneeling inside the cold shadow of the crater rim, [Grant-charactor] inserts the exposed copper wire leads of his diagnostic jumper directly into the satellite's bare input terminal. The primitive analog connection sparks faintly with a weak electrical charge, confirming that the remaining battery cells are bridging the power circuit. | CONTINUITY: telemetry port scraping, technical copper jumpers | NEXT: testing the manual hand-crank generator system on the chassis | AUDIO: fine wire scratching metal, static pop, wind whistling past visor | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-092 — PRESET 2 — EXT — CLOSE TOOL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — SATELLITE CHASSIS — Detailed Description (write like a compact cinematic essay): The camera captures a close view of the heavy mechanical hand-crank generator on the satellite side panel as [Grant-charactor] grips the steel handle. He turns the lever with steady, heavy rotations, forcing the internal copper coils to generate a localized diagnostic charge through the direct bypass wiring circuit. | CONTINUITY: diagnostic bypass connection, hand-crank generator | NEXT: monitoring the regional solar wind particle warning sensors | AUDIO: manual generator winding whir, heavy suit joint creak, wind roar | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-093 — PRESET 3 — EXT — FIXED INTERIOR FRAME — REFLECTED MONITOR GLOW — WRIST MONITOR — Detailed Description (write like a compact cinematic essay): The camera shows the digital wrist display flashing a high-frequency solar wind alert as [Grant-charactor] rests his arm against the satellite body. A stream of high-energy charged particles is beginning to hit the upper Martian atmosphere, indicating that his radiation exposure risk is climbing rapidly with every passing minute. | CONTINUITY: wrist radiation sensor warning, hand-crank generator charge | NEXT: evaluating solar radiation exposure hazards over the radio | AUDIO: warning beep sequence, high-frequency static hiss, suit blower hum | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-094 — PRESET 1 — EXT — DISTANT SILHOUETTE WIDE — LOW EVENING RED-GOLD LOSS LIGHT — CRATER RIM HEIGHTS — Detailed Description (write like a compact cinematic essay): Against a deep violet sky, the solitary silhouette of [Grant-charactor] stands bent over the ancient satellite on the steep slope. The howling mountain winds whip up thick curtains of fine red dust, blurring the outline of his massive white suit as he continues to turn the mechanical charging crank. | CONTINUITY: solar wind exposure warning, manual hand-crank charging | NEXT: checking the extreme temperature drop rate outside the rover | AUDIO: wind screaming over rocks, generator mechanical whine, suit hum | VOICE : The sun is dipping lower, and the solar wind is spiking. My radiation sensors are telling me I should get back inside. | IMAGES: Grant-charactor
SCENE_SaoHoa03-095 — PRESET 2 — EXT — RESTRAINED SIDE PROFILE — LOW EVENING RED-GOLD LOSS LIGHT — WRECKAGE EDGE — Detailed Description (write like a compact cinematic essay): Shivering slightly within his planetary suit, [Grant-charactor] checks the external temperature display, which now reads a bitter minus eighty-five degrees Celsius. The intense cold is beginning to sap the efficiency of his gloves, making his manual finger movements increasingly stiff and slow as he grips the controls. | CONTINUITY: extreme thermal drop to minus eighty-five, hand-crank | NEXT: attempting to align the primitive brass index pins manually | AUDIO: teeth chattering inside helmet, heavy suit insulation rustling | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-096 — PRESET 2 — EXT — CLOSE TOOL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — BRASS PROGRAMMER — Detailed Description (write like a compact cinematic essay): The camera focuses closely on the small brass letters engraved along the edge of the rotary selector wheel as [Grant-charactor] attempts to dial the index. His thick, clumsy glove tips slide across the metal notches, forcing him to apply direct vertical thumb pressure to lock the wheel into the first letter slot. | CONTINUITY: brass rotary letter selector, extreme finger stiffness | NEXT: managing a secondary loose rock slide near the support frame | AUDIO: brass gear scraping, glove leather creaking, wind whistle | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-097 — PRESET 3 — EXT — LOW TERRAIN-READING ANGLE — LOW EVENING RED-GOLD LOSS LIGHT — CRATER WALL — Detailed Description (write like a compact cinematic essay): The camera shoots from the bottom of the trench as a sudden rock slide triggers beside the satellite, sending a cascade of dark basalt stones tumbling down the slope. [Grant-charactor] slips on the crumbling earth, his boots churning through the sand as he desperately searches for a stable handhold. | CONTINUITY: secondary slope sifting, brass programmer calibration | NEXT: bracing his body against the satellite structural main casing | AUDIO: sharp rock clatter, rushing sand hiss, suit joint servo scream | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-098 — PRESET 3 — EXT — RESTRAINED SIDE PROFILE — LOW EVENING RED-GOLD LOSS LIGHT — CRATER EMBANKMENT — Detailed Description (write like a compact cinematic essay): Throwing his weight forward, [Grant-charactor] wraps his heavy arms around the main structural body of the satellite to anchor himself. He clings to the cold metallic chassis as the loose soil beneath his boots slides away into the dark abyss, leaving him suspended on the steep edge of the crater. | CONTINUITY: structural satellite brace, secondary landslide recovery | NEXT: evaluating the immediate stability of the mounting brackets | AUDIO: metallic impact thud, heavy suit gasping, wind roaring past visor | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-099 — PRESET 1 — EXT — WIDE STATIC HORIZON FRAME — LOW EVENING RED-GOLD LOSS LIGHT — CRATER RIM — Detailed Description (write like a compact cinematic essay): A spectacular wide composition captures the tiny white frame of [Grant-charactor] clinging to the side of the golden satellite as the dust settles around him. The vast, empty landscape is colored in deep shades of dark red and purple, emphasizing his absolute isolation on the edge of the collapsing crater. | CONTINUITY: satellite structural anchor, dust settlement on slope | NEXT: clearing the optical lens window of the laser emitter head | AUDIO: wind howling through mountain pass, low static crackle in suit | VOICE : The whole slope is alive. Every time I apply pressure to this selector disc, the mountain tries to pull us down. | IMAGES: Grant-charactor
SCENE_SaoHoa03-100 — PRESET 2 — EXT — CLOSE STRUCTURAL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — OPTICAL TRANSMITTER — Detailed Description (write like a compact cinematic essay): The camera frames the front optical lens window as [Grant-charactor] uses a small pressurized air bulb to blow away the remaining fine dust from the glass. The clean surface reflects the purple glow of the sky, revealing the primitive internal retro-reflector mirror waiting for the first manual signal transmission. | CONTINUITY: optical transmitter lens cleaning, stable slope platform | NEXT: aligning the manual dial index to the first letter index slot | AUDIO: air bulb puffing, dust hitting visor, thin atmosphere rale | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-101 — PRESET 2 — EXT — CLOSE TOOL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — ALPHABET WHEEL — Detailed Description (write like a compact cinematic essay): The camera tightens on the brass selector wheel as [Grant-charactor] carefully rotates the mechanical disc to the letter 'H' index mark. A small copper pin drops into place with a sharp mechanical snap, aligning the internal mirrors to the specific refraction angle required to reach Earth telescope arrays. | CONTINUITY: dialing letter 'H', optical transmitter preparation | NEXT: observing the first manual optical laser pulse transmission | AUDIO: sharp copper pin snap, gear teeth clicking, suit ventilator | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-102 — PRESET 3 — EXT — RESTRAINED SIDE PROFILE — LOW EVENING RED-GOLD LOSS LIGHT — LASER FOCUS ZONE — Detailed Description (write like a compact cinematic essay): Holding his body perfectly still, [Grant-charactor] presses the main manual fire plunger on the satellite console. Instantly, a brilliant, narrow beam of green laser light flashes from the optical lens, cutting through the dusty Martian sky towards the cold blue star of Earth visible on the horizon. | CONTINUITY: firing the 'H' letter laser pulse, aligned index wheel | NEXT: tracking the green laser beam path through the atmosphere | AUDIO: low electrical capacitor hum, sudden laser crackle, wind roar | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-103 — PRESET 2 — EXT — DISTANT SILHOUETTE WIDE — LOW EVENING RED-GOLD LOSS LIGHT — CRATER RIM HEIGHTS — Detailed Description (write like a compact cinematic essay): The lone silhouette of [Grant-charactor] stands motionless on the steep crater wall as the thin green laser line slices through the atmospheric dust haze. The bright beam stands out sharply against the darkening purple sky, acting as a fragile optical link connecting the lonely world with the rest of humanity. | CONTINUITY: monitoring laser beam propagation, manual firing cycle | NEXT: waiting for the mechanical retro-reflector feedback confirmation | AUDIO: low-frequency atmospheric rumble, suit oxygen circulation hum | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-104 — PRESET 1 — EXT — ANCHORED OVER-SHOULDER — LOW EVENING RED-GOLD LOSS LIGHT — WRECKAGE CORE — Detailed Description (write like a compact cinematic essay): Looking down over the shoulder of [Grant-charactor], he watches the mechanical retro-reflector dial on the console face. The absolute silence of the mountain is broken only by the rhythmic hum of his suit as he enters the twenty-minute signal delay window, waiting for the Earth station to acknowledge the first pulse. | CONTINUITY: signal delay monitoring phase, static hum | NEXT: monitoring the rover cabin heating and battery charge levels | AUDIO: wind scraping past helmet, heavy suit respiration, static hum | VOICE : It takes ten minutes for the beam to reach home, and another ten for the reflex mirror to register a return ping. | IMAGES: Grant-charactor
SCENE_SaoHoa03-105 — PRESET 2 — EXT — RESTRAINED SIDE PROFILE — SHADOW BANDS — COLD ROCK LEDGE — Detailed Description (write like a compact cinematic essay): Exhausted by the physical effort, [Grant-charactor] sits down on a flat volcanic boulder near the satellite chassis. He rests his heavy gloved hands on his knees, his posture slumped forward as he stares into the darkening valley floor below, where shadow bands are slowly swallowing the rugged terrain. | CONTINUITY: resting on volcanic boulder, signal delay waiting period | NEXT: checking the status of his primary suit oxygen reserve tanks | AUDIO: suit joints locking, deep slow breathing, distant wind howl | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-106 — PRESET 1 — EXT — WIDE STATIC HORIZON FRAME — LOW EVENING RED-GOLD LOSS LIGHT — DESERT BASIN — Detailed Description (write like a compact cinematic essay): The camera presents a breathtaking wide angle of the vast Martian plains turning from orange to deep indigo under the shadow of the southern hills. On the high crater rim, the tiny white suit of [Grant-charactor] sits motionless beside the ancient satellite, an insignificantly small speck in a cold universe. | CONTINUITY: absolute desert loneliness, physical resting phase | NEXT: verifying the rover cabin battery level status remotely | AUDIO: distant wind whispering over sand dunes, quiet radio static | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-107 — PRESET 2 — EXT — CLOSE STRUCTURAL INSERT — REFLECTED MONITOR GLOW — WRIST INTERFACE — Detailed Description (write like a compact cinematic essay): The camera frames the digital display as [Grant-charactor] checks the remote telemetry of the transport rover cabin heater. The vehicle's internal temperature is dropping due to the extreme external cold, meaning he must work faster to prevent the cockpit electronics from freezing during the delay. | CONTINUITY: rover cabin temperature telemetry, signal delay period | NEXT: listening for the mechanical feedback clack on the console | AUDIO: high system alert chime, suit oxygen regulator, wind roar | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-108 — PRESET 3 — EXT — CLOSE TOOL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — FEEDBACK DIAL — Detailed Description (write like a compact cinematic essay): The camera zooms in on the ancient mechanical feedback needle as it suddenly jumps, producing a sharp, metallic click. The retro-reflector indicator dial swings to a solid green line, confirming that the Earth receiver has detected the first optical laser pulse and locked onto the coordinate sector. | CONTINUITY: mechanical signal feedback click, coordinate validation | NEXT: preparing to manually dial the second signal letter 'E' | AUDIO: sharp iron click, internal gear ticking, heavy suit gasping | VOICE : none
SCENE_SaoHoa03-109 — PRESET 1 — EXT — RESTRAINED SIDE PROFILE — LOW EVENING RED-GOLD LOSS LIGHT — SATELLITE CHASSIS — Detailed Description (write like a compact cinematic essay): Standing up quickly from the rock shelf, [Grant-charactor] approaches the console with renewed energy. His lined face is visible behind the scratched visor, filled with intense determination as he prepares his hands to manipulate the frozen brass selector rings once more. The wind is growing colder. | CONTINUITY: mechanical signal feedback success, dial adjustment | NEXT: aligning the manual alphabet selector wheel to letter 'E' | AUDIO: heavy boots scrambling on rock, suit joints whirring, wind | VOICE : They saw it. The telescope arrays in the desert back home just registered my first pulse. I have to keep dialing. | IMAGES: Grant-charactor
SCENE_SaoHoa03-110 — PRESET 3 — EXT — LOW TERRAIN-READING ANGLE — SHADOW BANDS — CRATER EMBANKMENT — Detailed Description (write like a compact cinematic essay): The camera shoots from a low angle as the satellite's mounting frame slips another three inches down the loose slope, throwing up small clouds of fine red sand. [Grant-charactor] grabs the upper structural collar of the chassis, using his boots to wedge himself against a solid stone ledge to halt the movement. | CONTINUITY: satellite structural slip, secondary slope instability | NEXT: adjusting the manual rotary programmer disc to letter 'E' | AUDIO: metal sliding on rock, gravel rolling down, suit alarm beep | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-111 — PRESET 2 — EXT — CLOSE STRUCTURAL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — DIAL ASSEMBLY — Detailed Description (write like a compact cinematic essay): The camera frames the dusty dial surface as [Grant-charactor] forces the brass index pointer to the letter 'E' mark on the outer ring. The mechanical gears groan under the force of his stiff gloves, requiring him to use a metal leverage tool from his kit to slide the pin into its dedicated slot. | CONTINUITY: manual selection of letter 'E', mechanical leverage tool | NEXT: firing the second optical laser pulse towards Earth orbit | AUDIO: gear teeth grinding, metal tool scraping brass, wind whistling | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-112 — PRESET 2 — EXT — RESTRAINED SIDE PROFILE — LOW EVENING RED-GOLD LOSS LIGHT — TRANSMITTER FACE — Detailed Description (write like a compact cinematic essay): Bracing his knee against the chassis, [Grant-charactor] presses the manual firing plunger for the second time. The green laser emitter hums to life, sending another powerful line of coherent light slicing through the cold evening sky towards the blue target star. His hands are visibly shaking from the cold. | CONTINUITY: firing 'E' laser pulse, manual programmer adjustment | NEXT: monitoring the optical alignment integrity of the transmitter | AUDIO: capacitor hum rising, loud laser pop, suit ventilator whir | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-113 — PRESET 3 — EXT — CLOSE STRUCTURAL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — MIRROR HOUSING — Detailed Description (write like a compact cinematic essay): The camera zooms in on the external transmitter mirror as the housing tilts by exactly one degree due to the sliding terrain. [Grant-charactor] looks down at the alignment scope on his wrist, realizing that even this tiny deviation will cause the laser beam to miss the Earth receiver completely. | CONTINUITY: mirror housing tilt deviation, optical laser alignment | NEXT: using the manual shovel to brace the satellite chassis bottom | AUDIO: metal shifting click, suit radio static, high wind whistle | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-114 — PRESET 2 — EXT — ANCHORED OVER-SHOULDER — LOW EVENING RED-GOLD LOSS LIGHT — CRATER WALL — Detailed Description (write like a compact cinematic essay): Looking down over the shoulder of [Grant-charactor], he jams the heavy blade of the steel shovel deep underneath the satellite's lower mounting bracket to act as a temporary wedge. He applies downward pressure, manually forcing the structural gold frame back into its proper horizontal alignment path. | CONTINUITY: manual shovel wedge brace, mirror housing deviation | NEXT: securing the wedge with a heavy structural steel wrench | AUDIO: steel shovel grinding rock, heavy suit joint creak, wind roar | VOICE : A single degree of tilt translates to a million miles of error out in the void. I have to lock this frame down. | IMAGES: Grant-charactor
SCENE_SaoHoa03-115 — PRESET 2 — EXT — CLOSE TOOL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — CHASSIS BASE — Detailed Description (write like a compact cinematic essay): The camera frames the lower mounting bracket as [Grant-charactor] tightens a heavy steel structural bolt using his mechanical wrench. The frozen metal bolts screech under the sudden torque, but he keeps his hands moving steady, determined to secure the alignment before the next ground slide begins. | CONTINUITY: tightening mounting bolts, mechanical wrench, shovel wedge | NEXT: preparing to manually dial the third letter index 'L' | AUDIO: metal screeching under tension, wrench clicking, wind howl | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-116 — PRESET 2 — EXT — RESTRAINED SIDE PROFILE — LOW EVENING RED-GOLD LOSS LIGHT — PROGRAMMER WHEEL — Detailed Description (write like a compact cinematic essay): Standing on the reinforced ledge, [Grant-charactor] uses his forearm pad to verify the azimuth correction parameters. Satisfied that the alignment is restored, he turns back to the brass selector wheel, preparing to shift the copper pin to the third required letter of the coordinate message. | CONTINUITY: azimuth calibration verified, manual rotary programmer | NEXT: shifting the manual alphabet selector wheel to letter 'L' | AUDIO: screen tap tone, heavy suit glove leather creak, wind rale | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-117 — PRESET 2 — EXT — CLOSE STRUCTURAL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — SELECTOR PIN — Detailed Description (write like a compact cinematic essay): The camera captures the tiny copper selector pin sliding across the dusty dial as [Grant-charactor] pushes it with his thumb. The pin drops into the 'L' index slot with a distinct, clean mechanical snap, adjusting the optical transmitter mirrors to the next required coordinate position. | CONTINUITY: dialing letter 'L', copper selector pin adjustment | NEXT: firing the third optical laser pulse toward Earth orbit | AUDIO: crisp metallic click, gear teeth snapping, high suit blower | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-118 — PRESET 3 — EXT — LOW TERRAIN-READING ANGLE — SHADOW BANDS — CRATER EMBANKMENT — Detailed Description (write like a compact cinematic essay): The camera shoots from below as the intense Martian cold begins to penetrate the boot soles of the planetary suit worn by [Grant-charactor]. He stamps his feet to maintain circulation, his breath forming a dense frost layer along the lower edge of his helmet visor as he presses the plunger to fire. | CONTINUITY: suit boot insulation drop, firing 'L' laser pulse | NEXT: waiting for the optical laser beam to clear the high dust | AUDIO: boots stamping hard gravel, capacitor charge hum, laser pop | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-119 — PRESET 1 — EXT — DISTANT SILHOUETTE WIDE — LOW EVENING RED-GOLD LOSS LIGHT — CRATER RIM HEIGHTS — Detailed Description (write like a compact cinematic essay): The tiny silhouette of [Grant-charactor] is framed against the dark purple sky as the third green laser line shoots up from the crater wall. The wind howls across the open peaks, carrying fine dust that sparkles like stars in the path of the bright coherent light beam. He stands perfectly still. | CONTINUITY: monitoring 'L' laser pulse, absolute field solitude | NEXT: waiting for the mechanical reflex mirror response click | AUDIO: wind screaming over peaks, low-frequency atmospheric rumble | VOICE : The cold outside is down to minus eighty-five. My fingers are losing sensation, but the letters must be sent. | IMAGES: Grant-charactor
SCENE_SaoHoa03-120 — PRESET 2 — EXT — CLOSE TOOL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — SATELLITE PANEL — Detailed Description (write like a compact cinematic essay): The camera frames the retro-reflector feedback needle as [Grant-charactor] stands over the console panel, waiting out the twenty-minute signal delay. He keeps his arms crossed tightly against his chest to conserve body heat as the freezing wind rattles the external components of his suit. | CONTINUITY: signal delay monitoring phase, body heat conservation | NEXT: checking the remote base greenhouse thermal sensor logs | AUDIO: wind rattling suit buckles, teeth chattering, low suit hum | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-121 — PRESET 3 — EXT — CLOSE STRUCTURAL INSERT — LOW EVENING RED-GOLD LOSS LIGHT — FEEDBACK PANEL — Detailed Description (write like a compact cinematic essay): The camera captures the feedback needle as it makes a sudden mechanical jump, indicating the third successful signal lock. Inside the helmet, the eyes of [Grant-charactor] light up with determination as he prepares to dial the fourth letter 'P' of the urgent coordinate message. | CONTINUITY: mechanical feedback needle click, coordinate validation | NEXT: preparing to shift the manual dial index to letter 'P' | AUDIO: iron pin clanking, internal gear clicking, heavy suit gasp | VOICE : none | IMAGES: Grant-charactor
SCENE_SaoHoa03-122 — PRESET 3 — EXT — LOW TERRAIN-READING ANGLE — LOW EVENING RED-GOLD LOSS LIGHT — CRATER WALL — Detailed Description (write like a compact cinematic essay): The camera shoots from the bottom of the slope as a massive fissure cracks open beneath the satellite mounting frame. The ground buckles violently, sending a wave of loose red sand and sharp rocks cascading down the incline as [Grant-charactor] is thrown off his feet by the sudden vibration. | CONTINUITY: major slope structural collapse, feedback needle success | NEXT: scrambling to find a handhold on the sliding embankment | AUDIO: loud rock fracturing rumble, sand slide hiss, suit alarm beep | VOICE : none | IMAGES: Grant-charactor
